code,name
Y73.0,"Dụng cụ tiêu hoá, tiết niệu liên quan đến tai biến: thiết bị chẩn đoán và theo dõi"
Y73.1,"Dụng cụ tiêu hoá, tiết niệu liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng"
Y73.8,"Dụng cụ tiêu hoá, tiết niệu liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y73.2,"Dụng cụ tiêu hoá, tiết niệu liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y75.8,"Dụng cụ thần kinh liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y75.2,"Dụng cụ thần kinh liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y75.3,"Dụng cụ thần kinh liên quan đến tai biến: dụng cụ phẫu thuật, vật liệu và thiết bị (bao gồm cả chỉ khâu)"
Y75.1,Dụng cụ thần kinh liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng
Y75.0,Dụng cụ thần kinh liên quan đến tai biến: thiết bị chẩn đoán và theo dõi
Y79.0,Dụng cụ chỉnh hình liên quan đến tai biến: thiết bị chẩn đoán và theo dõi
Y79.1,Dụng cụ chỉnh hình liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng
Y79.8,"Dụng cụ chỉnh hình liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y79.2,"Dụng cụ chỉnh hình liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y79.3,"Dụng cụ chỉnh hình liên quan đến tai biến: dụng cụ phẫu thuật, vật liệu và thiết bị (bao gồm cả chỉ khâu)"
Y77.3,"Dụng cụ nhãn khoa liên quan đến tai biến: dụng cụ phẫu thuật, vật liệu và thiết bị (bao gồm cả chỉ khâu)"
Y77.8,"Dụng cụ nhãn khoa liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y77.2,"Dụng cụ nhãn khoa liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y77.0,Dụng cụ nhãn khoa liên quan đến tai biến: thiết bị chẩn đoán và theo dõi
Y77.1,Dụng cụ nhãn khoa liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng
Y70.3,"Dụng cụ gây mê liên quan đến tai biến: dụng cụ phẫu thuật, vật liệu và thiết bị (bao gồm cả chỉ khâu)"
Y70.2,"Dụng cụ gây mê liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y70.8,"Dụng cụ gây mê liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y70.1,Dụng cụ gây mê liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng
Y70.0,Dụng cụ gây mê liên quan đến tai biến: thiết bị chẩn đoán và theo dõi
Y71.3,"Dụng cụ tim mạch liên quan đến tai biến: dụng cụ phẫu thuật, vật liệu và thiết bị (bao gồm cả chỉ khâu)"
Y71.2,"Dụng cụ tim mạch liên quan đến tai biến: thiết bị nhân tạo và các thiết bị Implant, vật liệu và phụ kiện khác"
Y71.8,"Dụng cụ tim mạch liên quan đến tai biến: thiết bị khác, không phân loại nơi khác"
Y71.1,Dụng cụ tim mạch liên quan đến tai biến: thiết bị trị liệu (không phẫu thuật) và phục hồi chức năng
Y71.0,Dụng cụ tim mạch liên quan đến tai biến: thiết bị chẩn đoán và theo dõi
Y63.1,Pha loãng dịch không đúng trong truyền dịch
Y63.6,"Không dùng thuốc, dược chất, sinh chất cần thiết"
Y63.4,Sai liều trong sốc điện hay liệu pháp sốc insulin
Y63.0,"Cho quá nhiều máu hay dịch trong truyền máu, truyền dịch"
Y63.9,Sai liều trong khi chăm sóc nội khoa và ngoại khoa không xác định
Y63.3,Phơi nhiễm của bệnh nhân do bất cẩn trước tia xạ trong chăm sóc y tế
Y63.2,Quá liều tia xạ trong khi điều trị
Y63.8,Sai liều trong chăm sóc nội khoa và ngoại khoa khác
Y63.5,Nhiệt độ không phù hợp trong khi áp tại chỗ hay đắp quanh người
Y60.7,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi thụt tháo"
Y60.4,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi khám nội soi"
Y60.3,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi tiêm hay tiêm chủng"
Y60.9,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi chăm sóc nội khoa và ngoại khoa không xác định"
Y60.1,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi truyền dịch hay truyền máu"
Y60.5,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi thông tim"
Y60.0,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi mổ"
Y60.8,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi chăm sóc nội khoa và ngoại khoa khác"
Y60.6,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi hút, chọc hay thông khác"
Y60.2,"Vô tình cắt, chọc, làm thủng, chảy máu trong khi chạy thận nhân tạo hay tuần hoàn ngoài cơ thể khác"
Y64.9,Biến chứng do vật tư y tế hoặc sinh phẩm ô nhiễm vào cơ không rõ bằng phương tiện nào
Y64.8,Biến chứng do vật tư y tế hoặc sinh phẩm ô nhiễm vào cơ thể bằng các phương tiện khác
Y64.0,"Biến chứng do vật tư y tế hoặc sinh phẩm ô nhiễm, được truyền hoặc lây truyền"
Y64.1,"Biến chứng do vật tư y tế hoặc sinh phẩm ô nhiễm, được tiêm hay tiêm chủng"
Y62.6,"Không đảm bảo vô trùng trong khi hút, chọc, và thông khác"
Y62.2,Không đảm bảo vô trùng trong khi chạy thận nhân tạo hay tuần hoàn ngoài cơ thể khác
Y62.1,Không đảm bảo vô trùng trong khi truyền dịch hay truyền máu
Y62.3,Không đảm bảo vô trùng trong khi tiêm hay chủng
Y62.0,Không đảm bảo vô trùng trong khi mổ
Y62.9,Không đảm bảo vô trùng trong khi chăm sóc nội khoa và ngoại khoa không xác định
Y62.5,Không đảm bảo vô trùng trong khi thông tim
Y62.8,Không đảm bảo vô trùng trong khi chăm sóc nội khoa và ngoại khoa khác
Y62.4,Không đảm bảo vô trùng trong khi khám nội soi
Y65.2,Không khâu hay thắt được trong mổ
Y65.5,Tiến hành phẫu thuật không phù hợp
Y65.1,Truyền nhầm dịch
Y65.4,Thất bại trong đặt hay lấy bỏ ống hay dụng cụ khác
Y65.3,Đặt sai ống nội khí quản trong gây mê
Y65.0,Truyền nhầm nhóm máu
Y65.8,Các rủi ro xác định khác trong khi chăm sóc nội khoa và ngoại khoa
Y61.5,Dị vật vô tình để quên trong cơ thể trong khi thông tim
Y61.1,Dị vật vô tình để quên trong cơ thể trong khi truyền dịch hay truyền máu
Y61.4,Dị vật vô tình để quên trong cơ thể trong khi khám nội soi
Y61.2,Dị vật vô tình để quên trong cơ thể trong khi chạy thận nhân tạo hay tuần hoàn ngoài cơ thể khác
Y61.6,"Dị vật vô tình để quên trong cơ thể trong khi hút, chọc và thông khác"
Y61.3,Dị vật vô tình để quên trong cơ thể trong khi tiêm hay tiêm chủng
Y61.9,Dị vật vô tình để quên trong cơ thể trong khi chăm sóc nội khoa và ngoại khoa không xác định
Y61.8,Dị vật vô tình để quên trong cơ thể trong khi chăm sóc nội khoa và ngoại khoa khác
Y61.7,Dị vật vô tình để quên trong khi rút catheter hay vật liệu đặt trong cơ thể
Y61.0,Dị vật vô tình để quên trong cơ thể trong khi phẫu thuật
Y84.5,"Tai biến do đặt ống thông dạ dày hay tá tràng, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.4,"Tai biến do hút dịch, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.9,"Tai biến do thủ thuật nội khoa, không xác định, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.2,"Tai biến do thủ thuật điện quang, điều trị tia xạ, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.6,"Tai biến do thông tiểu [thông đái], không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.1,"Tai biến do chạy thận nhân tạo, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.7,"Tai biến do lấy mẫu máu, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.3,"Tai biến do liệu pháp sốc, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.0,"Tai biến do thông tim, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y84.8,"Tai biến do các thủ thuật nội khoa khác, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.3,Tai biến do phẫu thuật ngoại khoa có lỗ mở nhân tạo
Y83.9,"Tai biến do phẫu thuật ngoại khoa không xác định, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.8,"Tai biến do phẫu thuật ngoại khoa khác, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.2,"Tai biến do phẫu thuật ngoại khoa với khâu nối, bắc cầu hay ghép, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.1,"Tai biến do phẫu thuật ngoại khoa có cấy ghép một thiết bị nhân tạo bên trong, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.4,"Tai biến do phẫu thuật ngoại khoa tái tạo khác, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.5,"Tai biến do Phẫu thuật ngoại khoa Cắt cụt (nhiều) chi, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.6,"Tai biến do phẫu thuật ngoại khoa cắt bỏ cơ quan khác (1 phần) (toàn bộ), không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y83.0,"Tai biến do phẫu thuật ngoại khoa với ghép toàn bộ 1 tạng phủ, không đề cập đến rủi ro, sự cố, sai sót tại thời điểm thực hiện phẫu thuật, thủ thuật"
Y91.3,Ngộ độc rượu rất nặng
Y91.0,Ngộ độc rượu nhẹ
Y91.1,Ngộ độc rượu trung bình
Y91.2,Ngộ độc rượu nặng
Y91.9,"Có liên quan đến rượu, không xác định"
Y90.2,Nồng độ cồn trong máu ở 40- 59mg/ 100 ml
Y90.3,Nồng độ cồn trong máu ở 60- 79mg/ 100 ml
Y90.4,Nồng độ cồn trong máu ở 80- 99mg/ 100 ml
Y90.8,Nồng độ cồn trong máu ở 240mg/ ml hay hơn
Y90.5,Nồng độ cồn trong máu ở 100- 119mg/ 100 ml
Y90.1,Nồng độ cồn trong máu ở 20- 39mg/ 100 ml
Y90.6,Nồng độ cồn trong máu ở 120- 119mg/ 100 ml
Y90.7,Nồng độ cồn trong máu ở 220- 239mg/ 100 ml
Y90.9,Có cồn trong máu không rõ mức độ
Y90.0,Nồng độ cồn trong máu dưới 20 mg/ 100 ml
X67.1,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với carbon monoxide từ khí ga tiêu dùng
X67.0,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với carbon monoxide từ khí thải động cơ đốt trong
X67.2,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với carbon monoxide từ nhiên liệu hoá thạch dân dụng khác
X67.9,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với khí ga hoặc hơi không xác định
X67.3,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với carbon monoxide từ nguồn khác
X67.4,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với carbon monoxide từ nguồn không xác định
X67.8,Cố tình tự đầu độc (tự tử) bằng tiếp xúc với khí ga hoặc hơi xác định khác
Y17.2,Ngộ độc do hít phải carbon monoxide từ nhiên liệu hoá thạch dân dụng khác
Y17.8,Ngộ độc do hít phải khí ga hoặc hơi xác định khác
Y17.0,"Ngộ độc do hít phải carbon monoxide từ khí thải động cơ đốt trong, không rõ ý đồ"
Y17.9,Ngộ độc do hít phải khí ga hoặc hơi không xác định
Y17.4,Ngộ độc do hít phải carbon monoxide từ nguồn không xác định
Y17.1,"Ngộ độc do hít phải carbon monoxide từ khí ga tiêu dùng, không rõ ý đồ"
Y17.3,Ngộ độc do hít phải carbon monoxide từ nguồn khác
Y87.0,Di chứng của cố tình tự hại
Y87.1,Di chứng của tấn công
Y87.2,Di chứng của biến cố không xác định được
Y89.0,Di chứng của can thiệp pháp lý
Y89.9,Di chứng của nguyên nhân ngoại sinh không xác định
Y89.1,Di chứng của hoạt động chiến tranh
Y85.0,Di chứng của tai nạn xe cơ giới
Y85.9,Di chứng của các tại nạn giao thông khác và không xác định
Y88.0,"Di chứng của tác dụng phụ do thuốc, dược phẩm và chất sinh học dùng trong điều trị"
Y88.1,Di chứng trong rủi ro của bệnh nhân trong thủ thuật nội khoa và ngoại khoa
Y88.3,"Di chứng của thủ thuật nội khoa và ngoại khoa là nguyên nhân của phản ứng bất thường ở người bệnh, hay biến chứng sau này, mà không thấy rõ rủi ro trong lúc tiến hành thủ thuật"
Y88.2,Di chứng của tác dụng phụ liên quan đến sử dụng thiết bị y tế trong chẩn đoán và điều trị
V18.0,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Lái xe bị thương trong tai nạn không giao thông
V18.9,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V18.4,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Lái xe bị thương trong tai nạn giao thông
V18.5,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Hành khách bị thương trong tai nạn giao thông
V18.2,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V18.1,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Hành khách bị thương trong tai nạn không giao thông
V18.3,Người đi xe đạp bị thương trong tai nạn giao thông không có va chạm: Người bị thương khi lên hoặc xuống xe
V16.4,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Lái xe bị thương trong tai nạn giao thông
V16.9,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V16.0,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Lái xe bị thương trong tai nạn không giao thông
V16.1,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Hành khách bị thương trong tai nạn không giao thông
V16.5,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Hành khách bị thương trong tai nạn giao thông
V16.3,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Người bị thương khi lên hoặc xuống xe
V16.2,Người đi xe đạp bị thương khi va chạm với xe thô sơ khác: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V19.5,Hành khách xe đạp bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V19.3,Người đạp xe bị thương trong tai nạn không giao thông không xác định
V19.2,Người đi xe đạp bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V19.4,Lái xe đạp bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V19.9,Người đi xe đạp bị thương trong tai nạn giao thông không xác định
V19.8,Người đi xe đạp bị thương trong các tai nạn giao thông xác định khác
V19.0,Người lái xe đạp bị thương khi va chạm với xe cơ giới khác không xác định trong tai nạn không giao thông
V19.6,Người đi xe đạp bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V19.1,Hành khách xe đạp bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V10.0,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật: Lái xe bị thương trong tai nạn không giao thông
V10.1,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật: Hành khách bị thương trong tai nạn không giao thông
V10.5,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật. Hành khách bị thương trong tai nạn giao thông
V10.3,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật: Người bị thương khi lên hoặc xuống xe
V10.2,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V10.9,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật. Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V10.4,Người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật: Lái xe bị thương trong tai nạn giao thông
V11.0,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác: Lái xe bị thương trong tai nạn không giao thông
V11.4,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác: Lái xe bị thương trong tai nạn giao thông
V11.9,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác. Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V11.3,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác: Người bị thương khi lên hoặc xuống xe
V11.2,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V11.5,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác. Hành khách bị thương trong tai nạn giao thông
V11.1,Người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác: Hành khách bị thương trong tai nạn không giao thông
V15.5,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Hành khách bị thương trong tai nạn giao thông"
V15.3,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Người bị thương khi lên hoặc xuống xe"
V15.0,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Lái xe bị thương trong tai nạn không giao thông"
V15.4,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Lái xe bị thương trong tai nạn giao thông"
V15.1,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Hành khách bị thương trong tai nạn không giao thông"
V15.2,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông"
V15.9,"Người đi xe đạp bị thương khi va chạm với tàu hoả, ô tô ray: Người đi xe đạp không xác định bị thương trong tai nạn giao thông"
V12.0,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh: Lái xe bị thương trong tai nạn không giao thông
V12.2,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V12.1,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh: Hành khách bị thương trong tai nạn không giao thông
V12.4,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh: Lái xe bị thương trong tai nạn giao thông
V12.3,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh: Người bị thương khi lên hoặc xuống xe
V12.5,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh. Hành khách bị thương trong tai nạn giao thông
V12.9,Người đi xe đạp bị thương do va chạm với mô tô 2- 3 bánh. Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V17.5,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Hành khách bị thương trong tai nạn giao thông
V17.3,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Người bị thương khi lên hoặc xuống xe
V17.9,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V17.2,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V17.0,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Lái xe bị thương trong tai nạn không giao thông
V17.1,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Hành khách bị thương trong tai nạn không giao thông
V17.4,Người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật: Lái xe bị thương trong tai nạn giao thông
V13.0,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Lái xe bị thương trong tai nạn không giao thông"
V13.4,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Lái xe bị thương trong tai nạn giao thông"
V13.3,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Người bị thương khi lên hoặc xuống xe"
V13.9,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Người đi xe đạp không xác định bị thương trong tai nạn giao thông"
V13.5,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Hành khách bị thương trong tai nạn giao thông"
V13.2,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông"
V13.1,"Người đi xe đạp bị thương khi va chạm với ô tô, xe bán tải và xe tải nhẹ: Hành khách bị thương trong tai nạn không giao thông"
V14.5,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Hành khách bị thương trong tai nạn giao thông
V14.9,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Người đi xe đạp không xác định bị thương trong tai nạn giao thông
V14.0,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Lái xe bị thương trong tai nạn không giao thông
V14.1,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Hành khách bị thương trong tai nạn không giao thông
V14.2,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Người đi xe đạp không xác định bị thương trong tai nạn không giao thông
V14.4,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Lái xe bị thương trong tai nạn giao thông
V14.3,Người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt: Người bị thương khi lên hoặc xuống xe
V38.4,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người bị thương khi lên hoặc xuống xe
V38.6,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Hành khách bị thương trong tai nạn giao thông
V38.1,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Hành khách bị thương trong tai nạn không giao thông
V38.9,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người đi trên xe bị thương trong tai nạn giao thông
V38.7,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người bên ngoài xe bị thương trong tai nạn giao thông
V38.5,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người lái xe bị thương trong tai nạn giao thông
V38.3,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người đi trên xe bị thương trong tai nạn không giao thông
V38.0,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người lái xe bị thương trong tai nạn không giao thông
V38.2,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không có va chạm: Người bên ngoài xe bị thương trong tai nạn không giao thông
V39.2,Người đi trên xe cơ giới 3 bánh không xác định bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V39.0,Lái xe cơ giới 3 bánh bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V39.4,Lái xe cơ giới 3 bánh bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V39.6,Người đi xe cơ giới 3 bánh bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V39.3,"Người đi xe cơ giới 3 bánh bị thương trong tai nạn không xác định, không phải tai nạn giao thông"
V39.9,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông không xác định
V39.5,Hành khách xe cơ giới 3 bánh bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V39.1,Hành khách trên xe cơ giới 3 bánh bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V39.8,Người đi xe cơ giới 3 bánh bị thương trong tai nạn giao thông xác định khác
V32.2,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người bên ngoài xe bị thương trong tai nạn không giao thông
V32.9,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người đi trên xe bị thương trong tai nạn giao thông
V32.0,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người lái xe bị thương trong tai nạn không giao thông
V32.5,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người lái xe bị thương trong tai nạn giao thông
V32.4,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người bị thương khi lên hoặc xuống xe
V32.7,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người bên ngoài xe bị thương trong tai nạn giao thông
V32.1,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Hành khách bị thương trong tai nạn không giao thông
V32.3,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Người đi trên xe bị thương trong tai nạn không giao thông
V32.6,Người đi xe cơ giới 3 bánh bị thương khi va chạm với cơ giới 2 hoặc 3 bánh: Hành khách bị thương trong tai nạn giao thông
V37.1,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Hành khách bị thương trong tai nạn không giao thông
V37.4,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người bị thương khi lên hoặc xuống xe
V37.6,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Hành khách bị thương trong tai nạn giao thông
V37.0,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người lái xe bị thương trong tai nạn không giao thông
V37.7,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người bên ngoài xe bị thương trong tai nạn giao thông
V37.5,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người lái xe bị thương trong tai nạn giao thông
V37.3,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người đi trên xe bị thương trong tai nạn không giao thông
V37.9,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người đi trên xe bị thương trong tai nạn giao thông
V37.2,Người đi xe cơ giới 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật: Người bên ngoài xe bị thương trong tai nạn không giao thông
V30.5,Người đi xe cơ giới 3 bánh bị thương khi va chạm với người đi bộ hay súc vật: Người lái xe bị thương trong tai nạn giao thông
V30.4,Người đi xe cơ giới 3 bánh bị thương khi va chạm với người đi bộ hay súc vật: Người bị thương khi lên hoặc xuống xe
V30.2,Người đi xe cơ giới 3 bánh bị thương khi va chạm với người đi bộ hay súc vật: Người bên ngoài xe bị thương trong tai nạn không giao thông
V30.6,Người đi xe cơ giới 3 bánh bị thương khi va chạm với người đi bộ hay súc vật: Hành khách bị thương trong tai nạn giao thông
